NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
Kepler-326d,0.0700163,6.766888,,0.0057099,0.107949,,0.801,
Kepler-306c,0.0732442,7.240193,,0.0179955,0.209653,,0.719,
Kepler-80b,0.0645109,7.053,,0.0222358,0.241,0.72,0.65,
Kepler-272d,0.0964303,10.937304,,0.0169862,0.200732,,0.929,
Kepler-44b,0.0454854,3.24674,0,1.02109,1.24,1.19,1.52,4
Kepler-292b,0.0368224,2.580827,,0.00769114,0.117763,,0.826,
Kepler-228d,0.0973508,11.094286,,0.0531048,0.360425,,1.014,
Kepler-140b,0.0429776,3.25427,,0.0119837,0.143635,,1.288,
HD76700b,0.0511051,3.97097,0.095,0.232142,,1.129,1.2353,1.34707
Kepler-366b,0.043221,3.281959,,0.0107805,0.130252,,1.048,
HD149026b,0.0431325,2.8758911,0,0.361471,0.654,1.294,1.368,6
Kepler-186b,0.0378277,3.8867907,0.04,0.00370062,0.0953739,0.478,0.472,
Qatar-2b,0.0215077,1.3371182,0,2.48409,1.144,0.74,0.713,2.8
Kepler-166b,0.0759843,7.650254,,0.0171819,0.202516,,0.742,
HAT-P-49b,0.0437742,2.691548,0,1.72959,1.413,1.543,1.833,16
Kepler-150c,0.0741975,7.381998,,0.0422294,0.3292,,0.939,
HAT-P-7b,0.037964,2.204737,0,1.7916,1.363,1.5,1.981,3.8
Kepler-316c,0.0704356,6.827766,,0.00493175,0.103488,,0.52,
HD49674b,0.0571073,4.94737,0.087,0.101571,,1.015,0.889525,0.417621
WASP-38b,0.0758454,6.87188,0.028,2.70901,1.09,1.23,1.35,7.5
WASP-69b,0.0452527,3.8681382,0,0.259543,1.057,0.826,0.813,2.2
HD77338b,0.0612143,5.7361,0.09,0.0498139,,0.93,0.88,2.33
Kepler-444c,0.0489676,4.5458841,0.31,0.000273258,0.0453,0.758,0.752,
WASP-6b,0.0428704,3.361006,0.054,0.52136,1.224,0.93,0.87,1.4
Kepler-169c,0.066017,6.195469,,0.0057099,0.107949,,0.763,
Kepler-352b,0.0911742,10.05537,,0.00170474,0.0767241,,0.781,
Kepler-329b,0.0744278,7.416397,,0.00937625,0.1249,,0.523,
Kepler-179b,0.0382833,2.735926,,0.0121773,0.146311,,0.759,
Kepler-176b,0.0604835,5.433074,,0.0100631,0.127576,,0.891,
Kepler-339b,0.0570545,4.977656,,0.00983076,0.126684,,0.802,
WASP-99b,0.0716458,5.75251,0,2.78,1.1,1.48,1.76,6.8
HAT-P-5b,0.0407152,2.788491,0,1.05561,1.254,1.157,1.165,0
Kepler-125b,0.0506571,4.164389,,0.0182069,0.211437,,0.512,
Kepler-193b,0.0990643,11.38848,,0.0184218,0.213222,,1.147,
Kepler-119c,0.050338,4.125103,,0.00216566,0.0820769,,0.839,
WASP-33b,0.0255483,1.21986983,0,0,1.497,1.495,1.444,90
TrES-1b,0.0392516,3.030065,0,0.752484,1.067,0.878,0.807,10.3528
Kepler-120b,0.0668458,6.312501,,0.0160511,0.19181,,0.534,
Kepler-286d,0.0640044,5.914323,,0.00789025,0.118655,,0.863,
WASP-62b,0.0567187,4.411953,0,0.56227,1.39,1.25,1.28,8.7
Kepler-25b,0.0702822,6.2385,0,0.0223552,0.24177,1.19,1.31,9.5
Kepler-167c,0.0743589,7.406097,,0.00871939,0.122223,,0.696,
Kepler-291b,0.0455136,3.546511,,0.0161415,0.192702,,1.016,
WASP-11b,0.0436466,3.722465,0,0.539755,0.91,0.8,0.74,0.5
HD63454b,0.0362523,2.818049,0,0.384566,,0.8,1.15809,
Kepler-62c,0.0928559,12.4417,0.186815,0,0.0481326,0.69,0.64,0.4
Kepler-227b,0.0877115,9.488015,,0.0288426,0.277456,,1.091,
Kepler-275b,0.0926511,10.300682,,0.0178911,0.208761,,1.383,
CoRoT-14b,0.0269122,1.51214,0,7.69464,1.09,1.13,1.21,9
Kepler-80d,0.0413591,3.072186,,0.0128437,0.155232,,0.637,
Kepler-155b,0.0641261,5.931194,,0.0155228,0.186457,,0.62,
CoRoT-4b,0.0903166,9.20205,0,0.717419,1.19,1.16,1.17,6.4
HAT-P-19b,0.0466409,4.008778,0.067,0.292273,1.132,0.842,0.82,0.7
GJ163b,0.0606753,8.631,0.11,0.033876,,0.4,,
Kepler-116b,0.0643964,5.968734,,0.0353405,0.305112,,1.454,
Kepler-107c,0.0564705,4.901425,,0.0133325,0.161477,,1.411,
Kepler-109b,0.0689299,6.48163,0,0.0182069,0.211437,1.04,1.32,1
Kepler-170b,0.0778294,7.930592,,0.0305853,0.285485,,1.035,
XO-2b,0.0368367,2.615838,0,0.56654,0.983,0.974,0.971,1.4
Kepler-393b,0.0858179,9.182417,,0.00711292,0.115086,,1.382,
HD118203b,0.0702997,6.1335,0.309,2.13623,,1.23,2.14975,4.7
Kepler-106b,0.0657994,6.16486,0,0.00144019,0.073149,1,1.04,0.3
WASP-63b,0.0574592,4.37808,0,0.378096,1.43,1.32,1.88,2.8
Kepler-273b,0.0401325,2.936532,,0.0117855,0.133821,,0.815,
Kepler-323c,0.0455761,3.553822,,0.0121124,0.145419,,1.178,
Kepler-84d,0.0511438,4.224537,,0.00893492,0.123115,,1.169,
Kepler-267c,0.0707769,6.87745,,0.0158724,0.190026,,0.555,
HAT-P-16b,0.0413275,2.77596,0.036,4.2025,1.289,1.218,1.237,3.5
TrES-4b,0.0509243,3.553945,0,0.925,1.783,1.394,1.816,9.5
Kepler-184b,0.0949568,10.687576,,0.0181008,0.210545,,0.873,
Kepler-60b,0.0750769,7.1316185,,0.0172607,0.203227,1.11,1.5,
Kepler-350b,0.0979073,11.189562,,0.0136211,0.165046,,1.534,
Kepler-382b,0.0592083,5.262155,,0.00769114,0.117763,,0.945,
KIC11442793b,0.0761616,7.008151,,0.00752338,0.117,1.2,1.2,4.6
Kepler-446d,0.0352283,5.148921,0,0.00890695,0.123,0.22,0.24,
Kepler-4b,0.0455763,3.21346,0,0.0772279,0.357,1.223,1.487,2.1
HD97658b,0.0796373,9.4909,0.064,0.024739,0.208761,0.748,0.703,0.5
Kepler-261b,0.0931334,10.381227,,0.0163243,0.194487,,0.794,
Kepler-57b,0.0588891,5.7293196,,0.0163986,0.195205,0.83,0.73,
Kepler-323b,0.0276391,1.678327,,0.0100631,0.127576,,1.178,
Kepler-426b,0.0413383,3.21751883,0,1,1.09,0.91,0.92,3
WASP-20b,0.0599991,4.8996285,0,0.311,1.462,1.2,1.392,4.71
Kepler-80c,0.0788018,9.522,,0.022,0.254,0.72,0.65,
Kepler-179c,0.067463,6.40013,,0.0147725,0.178428,,0.759,
CoRoT-27b,0.0466557,3.57532,0,10.3882,1.007,1.05,1.08,4
Kepler-360c,0.0728812,7.186434,,0.0156092,0.187349,,1.058,
Kepler-381b,0.0619291,5.629021,,0.0028129,0.0883219,,1.568,
WASP-49b,0.0378972,2.7817387,0,0.378231,1.115,0.938,0.976,0.9
Kepler-288b,0.065318,6.097326,,0.0123736,0.148987,,1.091,
HD2638b,0.0435743,3.4442,0,0.477325,,0.93,1.1428,
Kepler-272b,0.0404491,2.971353,,0.0100631,0.127576,,0.929,
Kepler-231b,0.0912341,10.065275,,0.0127755,0.15434,,0.49,
Kepler-373b,0.0612399,5.535309,,0.00850717,0.121331,,0.845,
Kepler-445c,0.0317534,4.871229,0,0.020474,0.229,0.18,0.21,
Kepler-21b,0.0427173,2.785755,0,0.0121473,0.1459,1.34,1.86,7.75
Kepler-363b,0.046094,3.614568,,0.00493175,0.103488,,1.485,
Kepler-390b,0.0698175,6.738088,,0.00144064,0.0731555,,0.776,
HD47186b,0.0498411,4.0845,0.038,0.071203,,0.99,1.13117,2.2
Kepler-226b,0.0488289,3.940997,,0.011604,0.138282,,0.802,
KELT-3b,0.0412729,2.70339,0,1.46164,1.358,1.282,1.482,
Kepler-226c,0.0598621,5.349555,,0.0171819,0.202516,,0.802,
HAT-P-46b,0.0576688,4.463129,0.123,0.493,1.284,1.284,1.396,4.9
Kepler-311b,0.0857785,9.176092,,0.012573,0.151664,,1.188,
Kepler-228c,0.050414,4.134444,,0.0222169,0.240878,,1.014,
Kepler-23c,0.0986522,10.7421,0,0.0305282,0.28523,1.11,1.52,
Kepler-42b,0.0112809,1.2137672,,0.0012042,0.0695249,0.13,0.17,1.65
Kepler-296c,0.063479,5.841648,,0.0160511,0.19181,,0.557,
Kepler-356b,0.0542304,4.612696,,0.0117295,0.140066,,1.335,
HAT-P-13b,0.0426946,2.91625,0.0133,0.85708,1.281,1.22,1.56,2.9
Kepler-244b,0.0518456,4.311792,,0.0230631,0.246231,,0.803,
GJ3634b,0.0286881,2.64561,0.08,0.0221881,,0.45,0.43,0
HD130322b,0.0896052,10.7085,0.011,1.04309,,0.836,0.986573,1.6057
Kepler-124b,0.0443423,3.410493,,0.000957504,0.0651262,,0.636,
Kepler-111b,0.043745,3.341815,,0.0117926,0.140958,,1.157,
Kepler-235b,0.0437311,3.340222,,0.0167934,0.198947,,0.554,
HD46375b,0.0399038,3.023573,0.063,0.227201,,0.927,0.863012,0.864455
Kepler-48c,0.0851485,9.67395,,0.045968,0.24177,0.88,0.89,0.5
Kepler-114b,0.0586548,5.188549,,0.00656354,0.11241,,0.667,
Kepler-14b,0.0806879,6.790123,0.0350051,8.40643,1.136,1.512,2.048,7.9
Kepler-234c,0.0730543,7.21205,,0.0375018,0.313141,,1.113,
CoRoT-13b,0.051069,4.03519,0,1.31099,0.885,1.09,1.01,4
HAT-P-34b,0.0677467,5.452654,0.441,3.334,1.197,1.392,1.197,24
Kepler-431b,0.0718902,6.803,,0.00120877,0.0696,1.071,1.092,
HD1461b,0.0635202,5.7727,0.14,0.0240044,,1.026,1.12553,1.6
HAT-P-30b,0.0419042,2.810595,0.035,0.711088,1.34,1.242,1.215,2.2
Kepler-234b,0.0380552,2.711506,,0.0425085,0.330092,,1.113,
Kepler-392c,0.0933838,10.423118,,0.00409374,0.0981354,,1.129,
HAT-P-28b,0.0433674,3.257215,0.051,0.627833,1.212,1.025,1.103,0.2
HD102956b,0.0810025,6.4948,0.048,0.951497,,1.68,3.42909,0.3
WTS-2b,0.0185537,1.0187074,0,1.12,1.3,0.82,0.761,2.2
GJ176b,0.0656822,8.7832,0,0.0259969,,0.49,,0
WASP-58b,0.0562022,5.01718,0,0.891379,1.37,0.94,1.17,2.8
Kepler-244c,0.0894244,9.767292,,0.0151834,0.182889,,0.803,
Kepler-354b,0.0608066,5.47666,,0.0135483,0.164154,,0.674,
HD162020b,0.0756944,8.428198,0.277,15.2138,,0.8,0.526361,2.31757
Kepler-183b,0.0623606,5.687945,,0.0152673,0.183781,,0.958,
Kepler-210c,0.0781034,7.972513,,0.0403249,0.322955,,0.65,
HD168746b,0.0655505,6.404,0.107,0.245103,,0.916,0.888361,0
Kepler-20c,0.0930411,10.854092,0,0.0495058,0.273643,0.912,0.944,
Kepler-296b,0.0461525,3.621457,,0.00233796,0.0838612,,0.557,
Kepler-402b,0.0495511,4.028751,,0.00587447,0.108841,,1.264,
Kepler-260b,0.0795006,8.187399,,0.0148535,0.17932,,0.862,
Kepler-255c,0.0905121,9.946047,,0.0266892,0.26675,,0.933,
HD215497b,0.0465952,3.93404,0.16,0.020855,,0.872,1.10659,1.67
HATS-5b,0.0542014,4.763387,0.019,0.237663,0.912,0.936,0.871,0.8
Kepler-60c,0.0871504,8.9193459,,0.0192896,0.220162,1.11,1.5,
HD217107b,0.0750282,7.1268163,0.126686,1.40112,,1.108,1.5,0
Kepler-431c,0.0847193,8.703,,0.00075757,0.0609,1.071,1.092,
GJ433b,0.0580371,7.3709,0.08,0.0181986,,0.48,,
HAT-P-31b,0.0611921,5.005425,0.245,2.16904,1.07,1.218,1.36,0.5
OGLE-TR-113b,0.0228946,1.4324757,0,1.26,1.093,0.779,0.774,0
Kepler-41b,0.0289537,1.855558,0,0.493545,0.841,0.94,0.966,4.5
Kepler-270b,0.0995717,11.476094,,0.0148535,0.17932,,1.461,
HD285507b,0.0588842,6.0881,0.086,0.917,,0.734,0.656,3.2
Kepler-85b,0.0780663,8.306,,0.0145548,0.176,0.92,1.24,
Kepler-172b,0.0401669,2.940309,,0.0179955,0.209653,,1.085,
Kepler-360b,0.0432887,3.289672,,0.0122424,0.147203,,1.058,
Kepler-246b,0.0541452,4.60182,,0.0178911,0.208761,,0.831,
Kepler-217c,0.0820605,8.586004,,0.0136211,0.165046,,1.799,
Kepler-299c,0.0708347,6.885875,,0.0215411,0.236417,,1.032,
Kepler-112b,0.080928,8.408878,,0.0181008,0.210545,,0.841,
Kepler-271c,0.0743912,7.410935,,0.00291583,0.089214,,0.88,
WASP-77Ab,0.0240531,1.3600309,0,1.75921,1.21,1.002,0.955,4
Kepler-164c,0.0964797,10.945723,,0.022635,0.243554,,1.148,
55Cnce,0.0154393,0.736546,0,0.0263671,0.185565,0.905,0.943,2.46053
KOI-13b,0.0342279,1.76358799,0,6.515,1.406,1.72,1.71,
Kepler-312b,0.0286627,1.772419,,0.00711292,0.115086,,1.467,
Kepler-164b,0.0574921,5.03503,,0.00960182,0.125792,,1.148,
Kepler-341b,0.0587074,5.195528,,0.00523423,0.105273,,1.024,
WASP-8b,0.080153,8.158715,0.31,2.13797,1.038,1.03,0.945,1.59
Kepler-210b,0.0355986,2.453234,,0.0258466,0.262289,,0.65,
Kepler-40b,0.0806644,6.87349,0,2.17684,1.17,1.48,2.13,9
Kepler-171c,0.0994986,11.463462,,0.020389,0.228388,,0.839,
Kepler-133b,0.0791285,8.129976,,0.0129814,0.157017,,1.425,
HAT-P-39b,0.0509456,3.54387,0,0.599196,1.571,1.404,1.625,12.7
WASP-26b,0.0399686,2.7566,0,1.01746,1.32,1.12,1.34,2.4
WASP-71b,0.0463361,2.9036747,0,1,1.5,1.572,2.32,9.4
GJ876d,0.0208066,1.93778,0.207,0.0184193,,0.32,,0
OGLE-TR-56b,0.0238308,1.211909,0,1.39,1.363,1.228,1.363,0
Kepler-235c,0.0771364,7.824904,,0.00692663,0.114194,,0.554,
Kepler-156b,0.0570224,4.973456,,0.0174811,0.205192,,0.807,
Kepler-144b,0.0637947,5.885273,,0.00789025,0.118655,,1.235,
Kepler-208d,0.09757,11.131786,,0.00554835,0.107057,,1.314,
Kepler-387b,0.0701869,6.791636,,0.00324127,0.0918904,,1.046,
HAT-P-9b,0.0528645,3.92289,0,0.776601,1.4,1.28,1.32,11.9
Kepler-19b,0.0845828,9.2869944,0,0.0165942,0.197074,0.936,0.85,0
Kepler-130b,0.0812393,8.457458,,0.00313003,0.0909983,,1.127,
Kepler-207c,0.0413536,3.071571,,0.0117855,0.133821,,1.588,
Kepler-326b,0.0335877,2.248329,,0.0123086,0.135605,,0.801,
Kepler-200c,0.0921796,10.222157,,0.011856,0.14185,,0.944,
Kepler-280c,0.0557436,4.807091,,0.0148535,0.17932,,0.886,
51Pegb,0.0521068,4.230785,0.013,0.461143,,1.054,1.02451,2.57216
WASP-60b,0.0531121,4.3050011,0,0.512143,0.86,1.078,1.14,3.4
Kepler-99b,0.0500668,4.60358,0,0.01935,0.132037,0.79,0.73,0.5
Kepler-125c,0.0629914,5.774464,,0.00100422,0.0660184,,0.512,
Kepler-319c,0.0712147,6.941357,,0.0212781,0.234633,,0.903,
HD212301b,0.034116,2.245715,0,0.39615,,1.05,,
HAT-P-15b,0.0964692,10.863502,0.19,1.95154,1.072,1.013,1.08,2
HD209458b,0.047235,3.52474859,0,0.689646,1.359,1.131,1.155,4.49008
HD181433b,0.0800943,9.3743,0.396,0.0237331,,0.78,1.00831,1.5
HD187123b,0.042091,3.0965828,0.0102736,0.510056,,1.037,1.14277,2.14847
WASP-61b,0.0514489,3.8559,0,2.05491,1.24,1.22,1.36,10.3
Kepler-58b,0.0905953,10.2184954,,0.0233176,0.247794,0.95,1.03,
Kepler-376b,0.0566146,4.920199,,0.00371234,0.095459,,1.175,
Kepler-225b,0.0698236,6.738975,,0.00554835,0.107057,,0.48,
CoRoT-17b,0.0480499,3.7681,0,2.46001,1.02,1.04,1.5121,4.5
Kepler-444d,0.0601536,6.189392,0.18,0.000340205,0.0483,0.758,0.752,
Kepler-444e,0.0698427,7.743493,0.1,0.000377818,0.0498,0.758,0.752,
GJ581c,0.0729238,12.9182,0.07,0.0167756,,0.31,0.299,
HD10180c,0.0641175,5.75962,0.077,0.0415054,,1.06,1.10851,1.5
WASP-31b,0.0466223,3.405909,0,0.479329,1.537,1.165,1.252,7.6
Kepler-102d,0.0860714,10.3117,0,0.00574989,0.105263,0.8,0.74,0.5
HD40307b,0.0468927,4.3115,0,0.0129071,,0.74,0.839223,
WASP-101b,0.0505526,3.585722,0,0.5,1.41,1.34,1.29,12.4
Kepler-132b,0.0658943,6.178196,,0.0057099,0.107949,,1.178,
Kepler-256d,0.0634611,5.839172,,0.0194307,0.221251,,1.301,
Kepler-187b,0.0567577,4.938864,,0.00960182,0.125792,,1.287,
Kepler-374d,0.0574402,5.028219,,0.00749504,0.11687,,0.911,
HD83443b,0.0404623,2.985698,0.013,0.395855,,0.991,0.942509,1.27539
WASP-36b,0.0262601,1.5373653,0,2.26929,1.269,1.02,0.943,3.2
Kepler-213c,0.0558662,4.822962,,0.0178911,0.208761,,1.195,
HAT-P-6b,0.0523738,3.852985,0,1.05957,1.33,1.29,1.46,8.7
Kepler-398c,0.0992436,11.419412,,0.00302153,0.0901062,,0.613,
Kepler-211b,0.0504476,4.138575,,0.00656354,0.11241,,0.816,
Kepler-242b,0.0796077,8.20395,,0.0210192,0.232849,,0.85,
Kepler-138b,0.0927211,10.312364,,0.000512832,0.0544206,,0.528,
Kepler-389b,0.0428881,3.244107,,0.0120453,0.134713,,0.792,
Qatar-1b,0.0234308,1.420033,0,1.08979,1.164,0.85,0.823,2.1
Kepler-194b,0.032015,2.092281,,0.0120453,0.134713,,1.025,
Kepler-221d,0.0910907,10.04156,,0.022635,0.243554,,0.821,
Kepler-32e,0.0323795,2.896,,0.0117511,0.133702,0.54,0.53,
muArad,0.0927843,9.6386,0.172,0.0345873,,1.147,1.25035,3.11733
Kepler-251b,0.0556186,4.790936,,0.00789025,0.118655,,0.89,
Kepler-292c,0.0469467,3.715335,,0.0110268,0.131145,,0.826,
Kepler-324b,0.0524333,4.385315,,0.00464108,0.101704,,0.84,
